county_name,county_name_state,state
Linn,linn_or,or
Kimball,kimball_ne,ne
Lewis,lewis_mo,mo
Andrews,andrews_tx,tx
Scurry,scurry_tx,tx
Live oak,live oak_tx,tx
Dawson,dawson_ne,ne
Chatham,chatham_nc,nc
Lee,lee_va,va
Santa clara,santa clara_ca,ca
Herkimer,herkimer_ny,ny
Mitchell,mitchell_ks,ks
Deaf smith,deaf smith_tx,tx
Mower,mower_mn,mn
Colonial heights city,colonial heights city_va,va
Warren,warren_oh,oh
Rockbridge,rockbridge_va,va
Monroe,monroe_il,il
Jones,jones_ia,ia
Harlan,harlan_ne,ne
Wakulla,wakulla_fl,fl
Richmond city,richmond city_va,va
Colusa,colusa_ca,ca
Montgomery,montgomery_ga,ga
Livingston,livingston_il,il
Brunswick,brunswick_va,va
Crockett,crockett_tx,tx
Arenac,arenac_mi,mi
Martin,martin_nc,nc
Morgan,morgan_il,il
Essex,essex_va,va
Milwaukee,milwaukee_wi,wi
Codington,codington_sd,sd
Hopkins,hopkins_tx,tx
Big stone,big stone_mn,mn
Asotin,asotin_wa,wa
Secy,secy_ar,ar
Dodge,dodge_wi,wi
Sargent,sargent_nd,nd
Upshur,upshur_wv,wv
Torrance,torrance_nm,nm
Mrow,mrow_or,or
Navarro,navarro_tx,tx
Randolph,randolph_in,in
Nejos,nejos_co,co
Isabella,isabella_mi,mi
Harper,harper_ks,ks
Clay,clay_ga,ga
Washington,washington_id,id
White pine,white pine_nv,nv
Duchesne,duchesne_ut,ut
Worth,worth_mo,mo
Marshl,marshl_al,al
Throckmorton,throckmorton_tx,tx
Giles,giles_tn,tn
Forest,forest_wi,wi
Carbon,carbon_ut,ut
Coal,coal_ok,ok
Wythe,wythe_va,va
Houghton,houghton_mi,mi
Lake,lake_oh,oh
Webster,webster_ne,ne
Floyd,floyd_ia,ia
Haskell,haskell_ks,ks
Hardeman,hardeman_tx,tx
Apache,apache_az,az
Washoe,washoe_nv,nv
Beaver,beaver_pa,pa
Big horn,big horn_mt,mt
Dixie,dixie_fl,fl
Brantley,brantley_ga,ga
Knott,knott_ky,ky
Cass,cass_mo,mo
Marion,marion_ky,ky
Cherokee,cherokee_nc,nc
Mayes,mayes_ok,ok
Jefferson,jefferson_il,il
Shelby,shelby_al,al
Dupage,dupage_il,il
Shelby,shelby_il,il
Gunnison,gunnison_co,co
Wker,wker_al,al
Denver city,denver city_co,co
Canyon,canyon_id,id
Bledsoe,bledsoe_tn,tn
Brevard,brevard_fl,fl
Mahnomen,mahnomen_mn,mn
Adair,adair_mo,mo
Parke,parke_in,in
Whitley,whitley_in,in
Montgomery,montgomery_va,va
Buombe,buombe_nc,nc
Douglas,douglas_ne,ne
Jones,jones_ga,ga
Union,union_sd,sd
Muskegon,muskegon_mi,mi
Cobb,cobb_ga,ga
Franklin,franklin_ne,ne
Hancock,hancock_wv,wv
Coryell,coryell_tx,tx
Fayette,fayette_oh,oh
Chaffee,chaffee_co,co
Las animas,las animas_co,co
Rogers,rogers_ok,ok
Desoto,desoto_fl,fl
Woodson,woodson_ks,ks
Day,day_sd,sd
Marshall,marshall_in,in
Buena vista city,buena vista city_va,va
Pike,pike_ar,ar
Henderson,henderson_tn,tn
Columbia,columbia_pa,pa
Montgomery,montgomery_md,md
Pendleton,pendleton_ky,ky
Zapata,zapata_tx,tx
Cuyahoga,cuyahoga_oh,oh
Elko,elko_nv,nv
Wharton,wharton_tx,tx
Russell,russell_ky,ky
Antelope,antelope_ne,ne
Hamilton,hamilton_ks,ks
Niteau,niteau_mo,mo
Gilchrist,gilchrist_fl,fl
Jackson,jackson_ky,ky
Jefferson,jefferson_oh,oh
Somerset,somerset_nj,nj
San juan,san juan_wa,wa
Grand,grand_ut,ut
Hardin,hardin_ky,ky
Owen,owen_ky,ky
Duplin,duplin_nc,nc
Queen annes,queen annes_md,md
Warren,warren_in,in
Jefferson,jefferson_fl,fl
Marion,marion_ks,ks
Teton,teton_id,id
Mccurtain,mccurtain_ok,ok
Ventura,ventura_ca,ca
Fairfield,fairfield_sc,sc
Paulding,paulding_oh,oh
St louis,st louis_mo,mo
Grant,grant_nd,nd
Kootenai,kootenai_id,id
San juan,san juan_nm,nm
Mcpherson,mcpherson_ks,ks
Hancock,hancock_in,in
Carbon,carbon_pa,pa
Kent,kent_de,de
Clay,clay_ne,ne
Dekalb,dekalb_ga,ga
Bracken,bracken_ky,ky
Gregg,gregg_tx,tx
Ulster,ulster_ny,ny
Unicoi,unicoi_tn,tn
Defiance,defiance_oh,oh
Franklin,franklin_mo,mo
Decatur,decatur_tn,tn
Pender,pender_nc,nc
Middlesex,middlesex_nj,nj
Hettinger,hettinger_nd,nd
Izd,izd_ar,ar
Grant,grant_wi,wi
Antrim,antrim_mi,mi
Fillmore,fillmore_mn,mn
Newton,newton_tx,tx
Merced,merced_ca,ca
Lamar,lamar_tx,tx
Dallas,dallas_mo,mo
Meriwether,meriwether_ga,ga
Benton,benton_ms,ms
Oxford,oxford_me,me
Providence,providence_ri,ri
Mecklenburg,mecklenburg_nc,nc
Bartholomew,bartholomew_in,in
Kittitas,kittitas_wa,wa
Haywood,haywood_tn,tn
Willacy,willacy_tx,tx
Cedar,cedar_mo,mo
Anderson,anderson_ky,ky
Hand,hand_sd,sd
Carroll,carroll_ms,ms
Lincoln,lincoln_wi,wi
Madison,madison_il,il
Sierra,sierra_nm,nm
Mcculloch,mcculloch_tx,tx
Brown,brown_wi,wi
Ripley,ripley_in,in
Wapello,wapello_ia,ia
Alfalfa,alfalfa_ok,ok
Wheeler,wheeler_or,or
Boyle,boyle_ky,ky
Saline,saline_ks,ks
Harris,harris_tx,tx
Clay,clay_fl,fl
Lunenburg,lunenburg_va,va
Morgan,morgan_al,al
Wright,wright_mo,mo
Taylor,taylor_ga,ga
Union,union_oh,oh
Benton,benton_ia,ia
Georgetown,georgetown_sc,sc
Halifax,halifax_va,va
Allamakee,allamakee_ia,ia
Perkins,perkins_sd,sd
Cuming,cuming_ne,ne
Camden,camden_ga,ga
Comanche,comanche_ks,ks
Bibb,bibb_al,al
Gallatin,gallatin_il,il
Ottawa,ottawa_ks,ks
Hutchinson,hutchinson_sd,sd
Chouteau,chouteau_mt,mt
Valley,valley_ne,ne
Greene,greene_ny,ny
Baylor,baylor_tx,tx
Clark,clark_ks,ks
Centre,centre_pa,pa
Chippewa,chippewa_mn,mn
Gwinnett,gwinnett_ga,ga
Hemphill,hemphill_tx,tx
Madison,madison_ar,ar
Iron,iron_ut,ut
Barnes,barnes_nd,nd
Grundy,grundy_tn,tn
Lyon,lyon_ia,ia
Simpson,simpson_ms,ms
Washington,washington_al,al
Clay,clay_mn,mn
Jefferson davis,jefferson davis_ms,ms
Crawford,crawford_in,in
Walworth,walworth_sd,sd
Oregon,oregon_mo,mo
Barnstable,barnstable_ma,ma
Cheatham,cheatham_tn,tn
Mckean,mckean_pa,pa
Doddridge,doddridge_wv,wv
Ballard,ballard_ky,ky
Penobscot,penobscot_me,me
Dawes,dawes_ne,ne
Chippewa,chippewa_wi,wi
Bedford,bedford_pa,pa
Logan,logan_oh,oh
Covington,covington_ms,ms
Lackawanna,lackawanna_pa,pa
Logan,logan_nd,nd
Orangeburg,orangeburg_sc,sc
Morrison,morrison_mn,mn
Ector,ector_tx,tx
Carter,carter_mt,mt
Blount,blount_al,al
St charles,st charles_mo,mo
Jackson,jackson_in,in
Parker,parker_tx,tx
